,Unnamed: 0,Sol,peak_centre,delta_P_obs,p_lor_fit,p_lsr_delta_P,p_lsr_peak_time,p_lsr_fit,pres_rate,delta_V,v_lor_fit,v_lsr_delta_V,v_lsr_peak_time,v_lsr_fit,backg_V,time_FWHM,theta_obs,azimuth,miss_distance,D,delta_P,peak_Bz,mag_rate
15,15,651,651.5043394212963,-0.4005472084629673,0.0111151815365862,-0.4667463752784414,651.5043443264925,0.0110735224744114,10.0,10.443733830845773,51.61046655379624,0.7256863672504377,651.504339501216,47.24067953312604,6.851183383084577,3.601000004346133,5.636063360583146e-09,2.416397046721221,12.347327572263357,,209.76333220350372,0.3630000000000564,2.0
16,16,651,651.5099038773147,-0.3810336848756606,0.0040011045356124,-0.359656487091493,651.5099271809447,0.0038591054395326,10.0,4.435942786069652,20.05766225169534,5.240588388913275,651.5087071365211,3.0197874576496337,3.3604560275545348,45.64399999799207,2.249687122206966e-09,-3.031696989438796,118.50805555271688,,0.2745660766313704,0.4360000000000354,2.0
17,17,651,651.5138699421296,-0.5077580354865177,0.0254053582840992,-0.4408392222452184,651.5138903736231,0.0246014699102325,10.0,8.044773631840796,36.058908329996456,0.8934280301518946,651.5138304332789,30.580507579037427,5.510704995431008,6.714999997711857,9.174978583380616e-09,3.075599451050455,16.34272176665575,17.348954394918884,-2.310024324712776,1.2279999999999518,2.0
18,18,651,651.5339807986111,-0.3587076461888046,0.0105764099969008,-0.3730461282088794,651.5339303423092,0.0102970982974238,10.0,7.358674129353233,55.04061539245328,54045914.36606575,-5053.545624692455,0.257833558662595,5.335308457711442,48.46599999727914,2.126652915740189e-09,-0.6721434998434316,199.37194911438573,,0.2603281005447205,1.98599999999999,2.0
19,19,651,651.5460153356481,-0.515862952426005,0.0290390001904375,-0.5900236713073582,651.5460022109239,0.0284121401347155,10.0,9.677057213930349,48.594432275752624,1.5182684405967173,651.5458596810145,41.29593241684093,6.392022541929527,5.352999998285668,1.8616896117641903e-09,-0.6661685385078919,33.81383333474855,,0.1774915134682082,3.051000000000045,2.0
20,20,651,651.5470437384259,-0.5898135254186627,0.0336042578945301,-0.678324236689868,651.5470683449204,0.0328802018345824,10.0,11.312776119402988,71.76699244412804,1.0221031587356906,651.5470056976706,53.42698746517959,7.308074124327856,11.871999995128135,2.4009593526541022e-09,-2.133120719823015,80.73040401312986,,0.2394477845104982,1.75,2.0
21,21,651,651.5497459953704,-0.4189173984816534,0.0199677219845985,-0.4697786698774409,651.5497522591722,0.0198801837870616,10.0,8.691962686567166,43.25297445395038,-17.445123235589836,651.5508557654412,28.666056508822265,6.124112442836324,3.7949999979900895,3.6723129601033422e-09,-2.194117689652482,14.73650944889338,,0.6887851774799038,2.067999999999984,2.0
22,22,651,651.5620801620371,-0.4219829137938404,0.0041264688641827,-0.4219090218749029,651.562073373108,0.004098573335819,10.0,10.038532338308457,67.35476429723924,-12.00727634754188,651.5632037744833,16.671061282495344,6.137954651741293,19.365999997899053,5.664750466921843e-09,-1.620840621640053,60.90682753324151,,8.408979234027118,1.544999999999959,2.0
23,23,651,651.5733656481481,-0.5056654016825632,0.0218207770183598,-0.5398226627383456,651.5733876657854,0.0216103716168914,10.0,7.591037313432835,51.81732100818086,-9.406165495214756,651.5745126688988,8.80496022801873,5.147817138795817,29.09999999938009,4.971654585258984e-09,-2.6888747590629,89.689701999856,,1.1654486086738824,1.4990000000000236,2.0
24,24,651,651.5755565277777,-0.8463130022578298,0.0227718181292902,-0.8254947885805834,651.5755564274613,0.0227699949354281,10.0,7.764549751243782,37.08980861058488,1.611848332411869,651.575561894367,36.28721393555394,5.8923798623463,0.8760000018810388,1.358043177068582e-08,1.6177162369460196,2.419072564020011,1.7988202596166023,-6.968593958494548,1.75,2.0
25,25,651,651.5869107175926,-0.4207848561649143,0.0153917798765798,-0.4940375478827487,651.5869150116722,0.015372200225885,10.0,12.961803482587063,72.73510049626138,-0.9640056372661778,651.5869102601781,69.61816182960192,8.340473930348258,1.4599999998608837,2.4315580048642435e-09,3.038613070912505,9.50991539402508,,0.2922843407232527,0.9589999999999465,2.0
26,26,651,651.5878062152779,-0.4216988423875136,0.0169401599229854,-0.3420538526769605,651.587802115827,0.0168643050620133,10.0,11.77784328358209,67.81656033028229,-0.7966914008078326,651.5878320443586,63.015955931613405,7.920735338459219,2.0430000040505547,2.9779212209459117e-09,-0.9925358641418328,11.432041868625024,,0.4232374710723913,0.9759999999999992,2.0
27,27,651,651.595567175926,-0.490021544155411,0.0174999448846376,-0.4215837466458785,651.5953520832554,0.0102144371284325,10.0,8.619092039800995,82.7091831118405,80398651.91810042,-9519.701094151233,0.3466581078162282,6.232633665841647,68.2230000031268,4.247717579587218e-09,1.220974355319787,271.1299656731145,,0.7823624409324342,1.2329999999999472,2.0
28,28,651,651.605347800926,-0.4157466983830318,0.039942470059095,-0.4848786311519836,651.6057971000212,0.0170331357103937,10.0,8.98773880597015,96.06029630033204,40174466.0006972,-7356.091087436285,0.3454476882584641,5.707745851580421,97.12799999542769,1.9800050600605e-08,1.2929696569527631,150.81191762495928,465.147714548573,-0.5905615564028083,1.955000000000041,2.0
29,29,651,651.6059121296297,-1.3591182927589216,0.0604773022966307,-1.4093187524382311,651.6059030378283,0.0586830165859042,10.0,8.46762686567164,46.51548648923489,2.904749906611823,651.6059378088637,42.78541964385218,6.513005182421228,5.449999995107646,1.9800050600605e-08,1.2929696569527631,17.458974837990418,6.379197480119172,-42.08051202228501,1.8949999999999816,2.0
30,30,651,651.6090120138889,-0.4669350625787274,0.0256149961649161,-0.5251582602315225,651.6090456934784,0.02472630517549,10.0,11.82479104477612,84.50927072119859,-21.6315101702224,651.6101293502171,43.75177413282167,8.270027985074627,6.910000004791073,1.5481287798615952e-09,-2.347193380760047,58.91895868636151,,0.1435810250453703,1.5949999999999136,2.0
31,31,651,651.6095954976852,-0.3554941723583624,0.0233986233024371,-0.4788457125967912,651.6095856119958,0.0227535645968077,10.0,12.01818407960199,85.01228093716654,20.21300815341104,651.6084646522365,38.80463287286645,8.169921293532338,8.661999998730607,2.316642431234919e-09,-2.6476209228574863,52.043695379774135,,0.3055814703156884,1.5990000000000464,2.0
32,32,651,651.6184963888888,-0.4843139816939583,0.0295400300553864,-0.5758924852873241,651.6184979490748,0.0288762935130369,10.0,10.247512437810943,83.41897352894036,-13.864818341215026,651.6196204448761,20.77966149980872,7.07806552238806,19.95099999949161,3.045998395687929e-09,-3.1367994205867733,105.71174702437122,,0.3900888844568784,1.288000000000011,2.0
33,33,651,651.619461712963,-0.4690452267154796,0.041017773170899,-0.4631281475839775,651.619441353891,0.0406242781000261,10.0,10.22812686567164,68.12097368787822,16.83737801457746,651.6183317837919,32.39140736653907,7.315559751746318,9.634999997433624,1.653128671665911e-09,-2.0060348853272267,70.48531525835187,,0.1563490177551037,1.1619999999999209,2.0
34,34,651,651.6202186574075,-0.387022339817463,0.019331258223193,-0.2597900390292187,651.6202143694671,0.019284955671219,10.0,12.44002736318408,71.7257585290596,1.299116847863691,651.6202250123692,69.36194393167906,8.255817101361876,1.0700000053475378,9.455179272016884e-09,1.3944410873280202,3.355230112577168,5.744946416439634,-0.9150646015286412,1.030999999999949,2.0
35,35,651,651.6253269328704,-0.3731246512195412,0.0101659490136175,-0.375688537708541,651.6252825339562,0.0098602033953714,10.0,11.440480099502487,109.24166436387858,-13.54410138170073,651.6264546408001,22.10126863131829,7.567298582089553,26.37400000312482,3.4784045963629606e-09,2.4747620996665782,122.71541766134824,,0.7283988951620227,1.870999999999981,2.0
36,36,651,651.6279717476851,-0.4341037353217416,0.0093019214441777,-0.4341037353217416,651.6279717476851,0.0093019214441777,10.0,11.971902985074626,62.64100107169932,1.6637828356547242,651.627974422108,60.60759374323501,7.729190273631841,0.778000001446344,4.868317951074098e-09,2.8234619127748024,3.3710580044417973,,1.6885496223848104,1.3460000000000036,2.0
37,37,651,651.6285676273147,-0.5814741435860924,0.0119878161124886,-0.5814741435860924,651.6285676273147,0.0119878161124886,10.0,13.269788557213932,71.48815798475528,-0.1288622116158835,651.6286210663243,68.37419350182343,8.25367644278607,0.5839999979798449,1.5359097989911532e-09,0.681819069180424,5.567855661876358,,0.1340659980090347,1.266999999999939,2.0
38,38,651,651.6295701273149,-0.4425170559724165,0.0115744039527548,-0.4425170561149912,651.6295732293875,0.0115497833643316,10.0,12.390047263681591,70.81101757915643,-1.3029248686835584,651.6295794219001,67.79599849082305,8.224741268780475,0.8760000018810388,2.080563631181562e-09,2.9799082926682288,6.238011808443317,,0.2214279476760373,1.2749999999999773,2.0
39,39,651,651.6309173148148,-0.4264876018869472,0.0145304736310291,-0.456161832854025,651.6309241014089,0.0144357244158426,10.0,11.517778606965171,72.29361322394166,0.5262948101696185,651.6309173577931,66.71314729365773,8.151459751243781,3.699000004780828,2.6598169799724282e-09,-2.791271562741993,22.666913286809084,,0.3383468331059715,1.393000000000029,2.0
40,40,651,651.6370911805556,-0.3978755630820387,0.0224031469263121,-0.3978755630820387,651.6370911805556,0.0224031469263121,10.0,10.224900497512438,47.92002311458392,-1.0106451056444368,651.6370911831368,46.02346661650776,6.780141878546965,1.0700000053475378,2.424707609498503e-09,-2.900032651858946,5.517112524400159,,0.3029505239590819,1.3199999999999363,2.0
41,41,651,651.6392741550926,-0.489097534595885,0.022203048108069,-0.529993421332033,651.639271366696,0.022123044582839,10.0,9.141044776119402,46.62218045697187,1.4067925156999728,651.6388835669178,40.0807491634015,6.341093037351314,5.547000001752167,2.7852144548244684e-09,3.031035641095381,27.671712859739312,,0.3314477309257094,0.66599999999994,2.0
42,42,651,651.6401471296297,-0.4266587912560453,0.0241073550031746,-0.5362477555124875,651.6401524304296,0.0239610950205312,10.0,9.718087064676617,52.717756119496414,1.6528444367382975,651.6400860785488,48.127544461423966,6.900140459319562,3.892999998424784,1.865829144820598e-09,2.8628771242758986,24.11526743203145,,0.1918657459181918,0.82000000000005,2.0
43,43,651,651.6461621643518,-0.4983385892886645,0.0242893771317959,-0.5408239018345969,651.6461861701077,0.0237486525715093,10.0,10.666009950248757,78.39124292937537,17.18488353519068,651.6450392083159,28.446359069358124,7.575032375809394,12.456000002930525,4.552642093765967e-09,-2.0648947983983077,58.60557510129297,,0.9174760078438962,0.94500000000005,2.0
44,44,651,651.6469765625001,-0.4903195811265277,0.0424588221700448,-0.5259966974446515,651.6469799010156,0.0424236536619097,10.0,12.04139054726368,74.23992945490247,-812710645.6367935,11792.103017421328,0.1704697895407539,7.394761666666666,8.661000004940433,2.823917618429306e-09,2.709450380215875,50.10154999410455,,0.3386627086536351,0.9679999999999608,2.0
45,45,651,651.6475566550926,-0.8166051478636973,0.0263961283118758,-0.8630190300197058,651.6475566835883,0.0263684827636103,10.0,10.486773631840798,61.95259319915775,-21.328493788326085,651.6486741040301,40.33253549613966,7.353029626865672,3.3089999906223966,2.85970329162798e-08,-2.0945661212924804,7.7188745989458685,18.806434402774823,-1.3668641402601975,0.9200000000000728,2.0
46,46,651,651.6505754398148,-0.4730623515063143,0.0163866935369147,-0.4818297236572195,651.6505754192794,0.0163853120653008,10.0,11.662467661691542,59.39767238833715,-1.1971548548864792,651.6505748160953,56.77566573957554,7.530947338308458,0.8749999982683221,1.180057155331765e-09,1.4231534527382173,7.832685145157758,,0.1017003857505877,1.0600000000000591,2.0
47,47,651,651.655701724537,-0.3721463786284857,0.0218696164069817,-0.3932903945036731,651.6556873063022,0.0215473502309355,10.0,12.261731343283582,73.42093231519758,1.489167445262454,651.655475875251,62.47735533108748,7.9085214925373135,4.379000005792477,5.5631072491781326e-09,2.206897517380824,16.815653968001794,8.262570861563061,-6.537683516774505,0.5979999999999563,2.0
48,48,651,651.6565927199074,-0.371436712834793,0.0161726177589907,-0.3714367129107007,651.6565944340425,0.0161645474570306,10.0,11.892962686567165,68.6849541869458,-0.5005493797570715,651.6565921889738,66.05651090286842,8.125855373134328,1.069999995524995,2.1393728417334803e-09,-1.584552797470722,6.801385218847939,,0.2565793918318014,0.6650000000000773,2.0
