Var1,Unnamed_0,Sol,peak_centre,delta_P_obs,p_lor_fit,p_lsr_delta_P,p_lsr_peak_time,p_lsr_fit,pres_rate,delta_V,v_lor_fit,v_lsr_delta_V,v_lsr_peak_time,v_lsr_fit,backg_V,time_FWHM,theta_obs,azimuth,miss_distance,D,delta_P,peak_Bz,mag_rate
1,1,465,465.310005787037,-0.522002728776897,NaN,-0.476324631844446,465.310024768551,0.0009622720692769,10,NaN,NaN,NaN,NaN,NaN,6.58302777158981,154.682279112388,4.71459853453934e-09,-0.0225688792689897,617.163284508174,NaN,1.1225476887198,6.58999999999992,2
2,2,465,465.360337962963,-0.435180133629046,NaN,-0.350000778982097,465.360283931822,0.0035167337806676,10,NaN,NaN,NaN,NaN,NaN,9.39654032338309,27.882958870101,4.04483970406418e-09,-0.249868799514201,146.95871908752,NaN,1.59175555832321,6.04700000000003,2
3,3,465,465.362693287037,-0.386278765432621,NaN,-0.350006711140651,465.362698702476,0.0041830480813,10,NaN,NaN,NaN,NaN,NaN,9.62937598079255,6.91306616116869,5.58526204208236e-09,-0.152280449545932,31.7753202803626,23.0822761915783,-3.00313939654525,6.29399999999998,2
4,4,465,465.376565972222,-0.385315476189589,NaN,-0.350002921084078,465.376535245694,0.0036330363320955,10,NaN,NaN,NaN,NaN,NaN,9.80221182643994,13.7149652079214,9.02595841566116e-09,-0.552645202637337,50.4792198325049,91.9354682685429,-0.772079004251805,9.351,2
5,5,465,465.386921296296,-0.600744487030511,NaN,-0.599908503748284,465.386907948012,0.001849157166307,10,NaN,NaN,NaN,NaN,NaN,9.33811535288382,5.58346407768689,1.20932274178632e-08,1.29934619422548,22.1431310359286,29.0371644238592,-1.9953597312017,10.721,2
6,6,465,465.396914351852,-0.379937034131217,NaN,-0.350008464915527,465.396924558375,0.0023323319869796,10,NaN,NaN,NaN,NaN,NaN,9.64066867156754,38.0006809724431,4.59764072648562e-09,-0.523925486305276,192.741380458722,NaN,4.77935608958952,5.48599999999999,2
7,7,465,465.421737268518,-0.442613022594628,NaN,-0.350004736219948,465.421759412987,0.0045606882035676,10,NaN,NaN,NaN,NaN,NaN,9.39437303482587,59.6765857418593,5.89926977425357e-09,-0.652876881978867,260.383986418155,230.298605668849,-2.13970309052036,14.016,2
8,8,465,465.43481712963,-0.375785776665111,NaN,-0.3500069189018,465.434810732401,0.0032716605544804,10,NaN,NaN,NaN,NaN,NaN,8.22732407960199,6.4973631047648,5.10256480797291e-09,1.59448576424356,26.6958936190171,9.85897929333289,-10.6150703639942,1.322,2
9,9,465,465.442072916667,-0.356905191308783,NaN,-0.35000072677268,465.442177968793,0.0027597512593262,10,NaN,NaN,NaN,NaN,NaN,8.62731375621891,56.9275115330929,5.62038642125796e-09,-1.15994310962589,233.697382401725,174.294958463709,-2.86690665139457,0.803999999999974,2
10,10,465,465.451684027778,-0.492204654562556,NaN,-0.350000973439245,465.451689451413,0.0060471080355286,10,NaN,NaN,NaN,NaN,NaN,10.6935187990396,36.1661569382265,5.91082986322226e-09,-1.35410205165869,179.447770406113,159.666980949256,-2.11837916305849,1.26400000000001,2
11,11,465,465.472320601852,-0.351841347179516,NaN,-0.350062918896465,465.472323417604,0.0095609184323167,10,NaN,NaN,NaN,NaN,NaN,10.5301309701493,3.98272195666685,7.14643668512866e-09,-2.93968146084679,17.6989177510977,23.6948983386718,-1.13131254708865,1.18200000000002,2
12,12,465,465.49293287037,-0.956944618288276,NaN,-0.985893920468896,465.492921451267,0.0163145769214625,10,NaN,NaN,NaN,NaN,NaN,9.31173718905473,16.6840053475664,7.35336076326759e-09,1.66541516976758,108.469554954787,NaN,1.1075663233164,1.29500000000007,2
13,13,465,465.493853009259,-0.369686713323745,NaN,-0.350002830821355,465.494004308025,0.0684483954212194,10,NaN,NaN,NaN,NaN,NaN,10.5931761294032,53.6671630294969,9.41194709110282e-09,-1.24320682676465,209.042957665191,398.273302743619,-0.735694483738892,1.40600000000006,2
